Sede,Estudiante,Grado,Grupo,Periodo,Año,Intensidad Horaria,Asignatura,Cognitiva,Procedimental,Actitudinal,Axiologica,Calificacion_Ponderada
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,3.0,Ciencias Naturales,75,75,80,85.0,77.0
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,4.0,Ciencias Sociales,86,88,93,92.0,88.60000000000001
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,6.0,Matemáticas,87,89,85,90.0,87.5
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,3.0,Lengua Castellana,79,87,90,90.0,84.7
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,4.0,Inglés,94,94,92,93.0,93.5
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,2.0,Innovación y Emprendimiento,86,87,95,93.0,88.8
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,7.0,Aprendizaje Basado en Investigación,87,87,90,90.0,87.9
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,3.0,Educación Física,91,90,80,89.0,88.30000000000001
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,2.0,Lectura Crítica,85,85,90,90.0,86.5
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,1.0,Artes,91,92,85,90.0,90.0
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,1.0,Robótica y TICS,83,87,80,90.0,84.3
Girardot,ea79e831a5aaaaa05b8a3190abb1f4ea79f7ea07cda27d599d5b7ffb8652f17e,6,A,IV,2023,1.0,Inteligencia emocional e Integralidad,97,93,100,100.0,96.7
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,4.0,Ciencias Naturales,73,73,90,88.0,77.89999999999999
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,3.0,Ciencias Sociales,81,81,90,90.0,83.7
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,5.0,Matemáticas,64,66,95,95.0,73.9
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,3.0,Lengua Castellana,70,70,80,90.0,74.0
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,2.0,Lectura Crítica,80,81,80,88.0,81.1
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,4.0,English,70,70,90,88.0,75.8
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,3.0,Educación Física,93,93,97,100.0,94.5
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,1.0,Creatividad e innovación,88,86,95,95.0,89.5
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,2.0,Aprendizaje Basado en Proyectos,89,95,96,97.0,93.0
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,1.0,Artes,96,75,95,95.0,89.4
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,1.0,Tecnologías Informáticas,100,96,100,100.0,98.8
Girardot,e11b41f1cea938ef40c4c292028a7fdc184991cfced883d0b4c19eb1c7557bab,3,A,II,2024,1.0,Integralidad,76,61,80,90.0,73.7
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,3.0,Ciencias Naturales,89,89,90,90.0,89.3
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,3.0,Ciencias Sociales,95,95,94,94.0,94.7
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,5.0,Matemáticas,88,89,90,95.0,89.4
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,4.0,Lengua Castellana,89,89,90,88.0,89.1
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,4.0,Inglés,74,75,82,80.0,76.5
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,2.0,Creatividad e Innovación,91,89,94,94.0,91.3
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,4.0,Aprendizaje Basado en Proyectos,93,92,95,95.0,93.3
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,3.0,Educación Física,90,90,89,89.0,89.7
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,2.0,Lectura Crítica,90,86,90,90.0,88.8
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,1.0,Artes,94,91,91,93.0,92.4
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,1.0,Robótica y TICS,97,93,90,100.0,94.7
Girardot,3a0f2d8ff378cee084d5246d1bb2bdd5b97f03492209df2d07aacc6e65cb87fc,2,A,IV,2023,1.0,Inteligencia emocional e Integralidad,89,89,90,92.0,89.5
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,3.0,Ciencias Naturales,79,77,85,90.0,80.7
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,4.0,Ciencias Sociales,81,80,84,86.0,81.8
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,6.0,Matemáticas,78,86,80,90.0,82.0
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,3.0,Lengua Castellana,71,79,83,83.0,77.0
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,4.0,Inglés,75,74,80,87.0,76.9
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,2.0,Innovación y Emprendimiento,87,87,90,90.0,87.9
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,7.0,Aprendizaje Basado en Investigación,96,96,100,100.0,97.2
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,3.0,Educación Física,92,93,90,97.0,92.4
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,2.0,Lectura Crítica,81,81,83,83.0,81.60000000000001
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,1.0,Artes,90,90,90,90.0,90.0
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,1.0,Robótica y TICS,89,85,80,90.0,86.1
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,IV,2023,1.0,Inteligencia emocional e Integralidad,86,90,90,90.0,88.4
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,3.0,Ciencias Naturales,83,84,90,89.0,85.30000000000001
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,3.0,Ciencias Sociales,89,89,93,92.0,90.10000000000001
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,5.0,Matemáticas,82,84,90,90.0,85.0
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,4.0,Lengua Castellana,79,78,90,90.0,82.0
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,4.0,Inglés,69,69,90,80.0,74.3
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,2.0,Creatividad e Innovación,92,92,94,95.0,92.7
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,4.0,Aprendizaje Basado en Proyectos,87,87,83,82.0,85.7
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,3.0,Educación Física,84,87,88,87.0,86.00000000000001
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,2.0,Lectura Crítica,79,80,88,90.0,82.2
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,1.0,Artes,90,90,90,90.0,90.0
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,1.0,Robótica y TICS,85,89,100,100.0,90.7
Girardot,f0e9c4c70ad0699675063944228abf97d34d3c4ae59d1715029e6de99667b098,2,A,II,2023,1.0,Inteligencia emocional e Integralidad,87,89,85,85.0,87.0
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,4.0,Ciencias Naturales,82,83,100,100.0,87.7
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,4.0,Ciencias Sociales,88,87,90,90.0,88.3
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,6.0,Matemáticas,97,97,95,95.0,96.4
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,3.0,Lengua Castellana,85,85,98,98.0,88.89999999999999
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,2.0,Lectura Crítica,93,93,98,98.0,94.49999999999999
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,4.0,English,83,84,95,94.0,86.80000000000001
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,3.0,Educación Física,96,95,95,98.0,95.7
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,1.0,Innovación y Emprendimiento,90,93,95,95.0,92.4
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,2.0,Aprendizaje Basado en Investigación,92,95,100,100.0,95.30000000000001
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,1.0,Artes,90,93,100,100.0,93.9
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,1.0,Tecnologías Informáticas,89,90,100,90.0,91.6
Girardot,5253fa0e409b2c408d9effa894c30a8d1b6c1554fffe2e5945a6b5a7ebae0217,6,A,II,2024,1.0,Integralidad,95,95,95,92.0,94.7
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,3.0,Ciencias Naturales,84,85,98,90.0,87.7
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,4.0,Ciencias Sociales,77,78,93,95.0,82.30000000000001
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,5.0,Matemáticas,70,70,93,90.0,76.6
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,3.0,Lengua Castellana,81,80,98,98.0,85.8
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,4.0,Inglés,84,84,88,88.0,85.2
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,2.0,Creatividad e Innovación,93,93,90,93.0,92.39999999999999
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,4.0,Aprendizaje Basado en Proyectos,92,91,93,96.0,92.30000000000001
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,3.0,Educación Física,87,87,88,83.0,86.8
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,2.0,Lectura Crítica,88,89,95,97.0,90.60000000000001
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,1.0,Artes,88,88,88,90.0,88.2
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,1.0,Robótica y TICS,85,85,75,85.0,83.0
Girardot,7a4d549162a0d3a509af266227f23ef9962998836c3eb65d7f9558d34513b06e,4,A,I,2023,1.0,Inteligencia emocional e Integralidad,93,90,85,80.0,89.2
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,3.0,Ciencias Naturales,93,93,80,90.0,90.1
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,3.0,Ciencias Sociales,88,87,89,90.0,88.1
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,5.0,Matemáticas,78,79,80,87.0,79.60000000000001
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,4.0,Lengua Castellana,79,79,80,85.0,79.8
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,4.0,Inglés,90,89,90,100.0,90.7
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,2.0,Creatividad e Innovación,87,88,86,83.0,86.7
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,4.0,Aprendizaje Basado en Proyectos,89,89,89,90.0,89.1
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,3.0,Educación Física,91,89,90,90.0,90.1
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,2.0,Lectura Crítica,84,84,85,87.0,84.5
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,1.0,Artes,89,88,80,87.0,86.7
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,1.0,Robótica y TICS,97,97,100,100.0,97.9
Girardot,333f872a3810dc50c66e09125e24f6f14571419b77e99dec6c9d3695a98d2636,1,A,I,2023,1.0,Inteligencia emocional e Integralidad,90,94,92,91.0,91.7
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,3.0,Ciencias Naturales,91,91,97,97.0,92.80000000000001
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,3.0,Ciencias Sociales,90,90,100,100.0,93.0
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,5.0,Matemáticas,85,86,90,90.0,86.8
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,4.0,Lengua Castellana,86,86,90,90.0,87.2
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,4.0,Inglés,91,91,90,90.0,90.7
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,2.0,Creatividad e Innovación,93,94,96,96.0,94.20000000000002
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,4.0,Aprendizaje Basado en Proyectos,97,97,97,98.0,97.10000000000001
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,3.0,Educación Física,95,94,93,94.0,94.20000000000002
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,2.0,Lectura Crítica,87,88,94,96.0,89.6
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,1.0,Artes,91,92,90,92.0,91.2
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,1.0,Robótica y TICS,92,89,100,100.0,93.5
Girardot,cb5900f3fb10650a7a23241f7cbe4cf56a0ceb2188eaa674b24754f5cb46be1a,2,A,III,2023,1.0,Inteligencia emocional e Integralidad,91,92,90,91.0,91.1
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,3.0,Ciencias Naturales,89,88,96,100.0,91.2
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,4.0,Ciencias Sociales,87,88,95,98.0,90.0
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,6.0,Matemáticas,89,88,97,97.0,91.10000000000001
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,3.0,Lengua Castellana,86,87,95,95.0,89.0
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,4.0,Inglés,79,80,95,95.0,84.1
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,2.0,Innovación y Emprendimiento,94,94,95,96.0,94.4
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,7.0,Aprendizaje Basado en Investigación,92,90,87,85.0,89.7
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,3.0,Educación Física,90,89,90,90.0,89.7
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,2.0,Lectura Crítica,85,90,95,90.0,89.0
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,1.0,Artes,90,90,88,90.0,89.6
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,1.0,Robótica y TICS,81,85,85,90.0,83.9
Girardot,c77c785713f1ffa8eb35e3e615ca5588b05d8d4c0dee77281ca9e259ed4c3d06,7,A,I,2023,1.0,Inteligencia emocional e Integralidad,90,94,90,94.0,91.60000000000001
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,3.0,Ciencias Naturales,84,89,90,90.0,87.3
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,4.0,Ciencias Sociales,87,87,85,92.0,87.10000000000001
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,6.0,Matemáticas,78,78,92,91.0,82.1
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,3.0,Lengua Castellana,85,85,90,90.0,86.5
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,4.0,Inglés,86,89,90,90.0,88.1
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,2.0,Innovación y Emprendimiento,85,85,90,94.0,86.9
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,7.0,Aprendizaje Basado en Investigación,86,86,84,89.0,85.9
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,3.0,Educación Física,89,88,93,90.0,89.6
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,2.0,Lectura Crítica,89,89,90,90.0,89.3
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,1.0,Artes,90,90,88,90.0,89.6
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,1.0,Robótica y TICS,81,77,80,90.0,80.5
Girardot,54f9f8ed6d3def5a3339da0be7b37df9ccc8425f7cb08406771d896cb1d9cfe5,7,A,I,2023,1.0,Inteligencia emocional e Integralidad,93,92,95,98.0,93.6
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,3.0,Ciencias Naturales,73,76,90,90.0,79.0
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,4.0,Ciencias Sociales,82,70,80,84.0,78.20000000000002
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,6.0,Matemáticas,80,81,90,100.0,84.3
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,3.0,Lengua Castellana,78,78,82,82.0,79.2
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,4.0,Inglés,84,84,85,90.0,84.8
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,2.0,Innovación y Emprendimiento,85,87,87,88.0,86.3
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,7.0,Aprendizaje Basado en Investigación,84,83,80,89.0,83.4
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,3.0,Educación Física,90,89,90,90.0,89.7
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,2.0,Lectura Crítica,81,81,84,82.0,81.7
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,1.0,Artes,83,89,88,90.0,86.5
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,1.0,Robótica y TICS,70,81,60,85.0,72.8
Girardot,410e298c0e5e049d1b4195a304ffd19006e8d8e07d7c5e31dbf3e90f5d8584d5,6,A,III,2023,1.0,Inteligencia emocional e Integralidad,82,78,90,90.0,83.2
Girardot,184c78bd5f15a7ade8e456e8ac3243b2c8d16dc2c85b127cfabbe5287de8e8bd,7,A,I,2023,2.0,Innovación y Emprendimiento,50,51,0,0.0,35.3
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,4.0,Ciencias Naturales,78,78,100,100.0,84.6
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,4.0,Ciencias Sociales,81,80,85,88.0,82.2
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,6.0,Matemáticas,90,91,90,90.0,90.3
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,3.0,Lengua Castellana,82,82,83,85.0,82.5
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,2.0,Lectura Crítica,81,81,84,84.0,81.9
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,4.0,English,88,90,80,90.0,87.2
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,3.0,Educación Física,93,92,90,91.0,91.89999999999999
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,1.0,Innovación y Emprendimiento,94,93,95,90.0,93.5
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,2.0,Aprendizaje Basado en Investigación,91,91,90,90.0,90.7
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,1.0,Artes,88,87,85,90.0,87.3
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,1.0,Tecnologías Informáticas,78,79,75,75.0,77.4
Girardot,569a56c85993f0704ba525dbbc0afb116c7a5282c73122b563e7c2e9446600cd,7,A,I,2024,1.0,Integralidad,94,91,90,95.0,92.4
Girardot,a69f380f4d3b2e3157687c4360da0487eca7d9c0afecd378aa2d91591d94f014,6,A,II,2024,4.0,Ciencias Naturales,83,88,100,100.0,89.6
Girardot,a69f380f4d3b2e3157687c4360da0487eca7d9c0afecd378aa2d91591d94f014,6,A,II,2024,4.0,Ciencias Sociales,85,84,90,90.0,86.2
Girardot,a69f380f4d3b2e3157687c4360da0487eca7d9c0afecd378aa2d91591d94f014,6,A,II,2024,6.0,Matemáticas,94,94,95,95.0,94.3
